state,fips,margin2020,margin2016,votes,votes2016
alaska,02901,0.39177,9.1,7147,6638
alaska,02910,47.18698,49.2,10878,9040
alaska,02911,37.17102,44.4,10449,9689
alaska,02912,43.91399,49.3,10976,9543
alaska,02913,25.82781,35.9,7550,6533
alaska,02914,21.41909,28.2,11303,10420
alaska,02915,1.11173,14.0,5397,4982
alaska,02916,-9.1468,-1.2,7970,7436
alaska,02917,-18.54143,-9.9,6952,6788
alaska,02918,-25.14309,-16.5,7513,7402
alaska,02919,-21.75087,-21.6,5186,4792
alaska,02902,25.2864,29.2,6023,5492
alaska,02920,-33.94762,-27.5,7217,7140
alaska,02921,-18.41369,-8.6,9292,8647
alaska,02922,1.01604,11.1,9350,8372
alaska,02923,-2.39012,5.1,7531,6924
alaska,02924,6.1522,12.2,10289,9290
alaska,02925,-2.25884,5.4,9164,8127
alaska,02926,6.53438,13.2,9978,8905
alaska,02927,-5.581,4.1,9389,8783
alaska,02928,-0.99668,5.9,12642,11427
alaska,02929,41.62706,45.2,10731,9394
alaska,02903,49.97591,54.7,8302,7613
alaska,02930,44.68252,48.9,10174,8950
alaska,02931,15.52991,21.1,12389,10182
alaska,02932,11.2154,14.2,8310,7472
alaska,02933,-40.88211,-32.7,10951,9934
alaska,02934,-11.35876,-2.8,10723,9431
alaska,02935,-2.38685,3.9,10097,9042
alaska,02936,14.20724,21.4,9284,8264
alaska,02937,0.19212,-9.5,3123,5062
alaska,02938,-28.07677,-31.7,5054,5095
alaska,02939,-29.78451,-30.8,5476,5639
alaska,02904,-10.18085,-1.0,10893,9521
alaska,02940,-6.19424,-20.8,3923,4610
alaska,02905,-1.11267,6.3,8538,7906
alaska,02906,26.48162,28.3,9331,8460
alaska,02907,49.8511,53.4,9402,8294
alaska,02908,56.79712,60.8,9710,8073
alaska,02909,45.62857,47.5,10866,8954
texas,48001,58.09449,57.9,19155,16977
texas,48003,69.80874,62.5,5856,4943
texas,48005,46.01479,47.2,34628,29911
texas,48007,51.58075,50.2,12241,10512
texas,48009,80.35863,79.2,4796,4283
texas,48011,86.33094,83.6,1112,1021
texas,48013,34.03373,29.0,18085,13673
texas,48015,58.12222,59.6,14368,12274
texas,48017,55.17799,52.8,1854,1793
texas,48019,59.41116,63.0,12703,10218
texas,48021,13.71326,20.1,36709,28665
texas,48023,77.32143,71.8,1680,1499
texas,48025,28.91015,15.3,9405,8485
texas,48027,8.80374,14.8,125867,95701
texas,48029,-18.11484,-13.3,756021,594574
texas,48031,47.49966,52.2,7419,5685
texas,48033,91.99029,81.9,412,365
texas,48035,64.81196,64.3,9094,7867
texas,48037,42.83657,46.5,38194,34602
texas,48039,18.28067,24.4,154037,121181
texas,48041,14.41129,23.2,84753,67211
texas,48043,4.16233,4.8,4805,4252
texas,48045,77.62431,72.6,724,736
texas,48047,-19.00161,-51.0,2484,2596
texas,48049,72.63488,74.1,15940,14026
texas,48051,57.57787,55.0,8604,6960
texas,48053,53.17699,56.5,24646,19204
texas,48055,9.73942,15.6,14775,12178
texas,48057,44.49255,36.1,7853,6974
texas,48059,77.2341,77.0,6826,5579
texas,48061,-13.09265,-32.3,113789,92665
texas,48063,44.17639,42.7,5057,4542
texas,48065,79.77929,80.0,3081,2964
texas,48067,59.19457,59.4,13856,12344
texas,48069,54.51489,44.5,2082,1997
texas,48071,61.66998,61.7,21641,16836
texas,48073,55.86164,56.3,19457,16790
texas,48075,71.84595,74.3,2259,2084
texas,48077,77.5802,76.5,5736,5018
texas,48079,63.25301,54.3,996,901
texas,48081,75.25084,79.1,1794,1423
texas,48083,77.25291,76.6,4128,3643
texas,48085,4.3422,16.6,492216,364430
texas,48087,73.31691,72.5,1218,1156
texas,48089,50.81719,51.0,9912,8513
texas,48091,43.08635,49.7,87942,62178
texas,48093,71.0881,67.7,6084,5237
texas,48095,67.90221,69.0,1268,1068
texas,48097,65.24307,67.9,18966,15955
texas,48099,33.53255,39.2,23425,18253
texas,48101,64.66165,67.6,665,612
texas,48103,66.9328,54.2,1503,1384
texas,48105,55.62619,43.6,1573,1395
texas,48107,44.49565,41.3,1953,1728
texas,48109,-2.66204,-22.7,864,767
texas,48111,74.1433,67.3,1605,1544
texas,48113,-31.62847,-25.9,921638,765682
texas,48115,56.55846,50.5,3789,3563
texas,48123,62.49076,63.6,8118,6844
texas,48117,44.05382,40.9,4608,4216
texas,48119,67.80054,63.0,2587,2281
texas,48121,8.08323,20.0,417964,298645
texas,48125,73.09645,69.0,985,909
texas,48127,-24.00436,-37.2,3666,3225
texas,48129,75.24272,70.6,1648,1465
texas,48131,-2.59406,-35.2,5050,4168
texas,48133,75.37178,75.2,8271,6963
texas,48135,47.90058,40.4,44417,36530
texas,48137,68.32707,41.3,1064,1073
texas,48141,-34.3968,-42.8,254576,215922
texas,48139,34.05325,44.7,85566,64110
texas,48143,63.87718,65.1,16837,13893
texas,48145,37.14332,33.5,6133,5248
texas,48147,63.54466,61.6,14969,12044
texas,48149,58.13216,59.1,12924,11174
texas,48151,60.02191,49.9,1826,1729
texas,48153,56.21622,53.0,2035,1959
texas,48155,62.79492,52.6,551,513
texas,48157,-10.50658,-6.6,357833,262066
texas,48159,67.0,66.7,5000,4380
texas,48161,61.50035,59.3,8678,7684
texas,48163,7.42781,-13.4,5264,4400
texas,48165,79.71477,71.6,5960,4620
texas,48167,22.78882,24.5,153843,122903
texas,48169,71.47184,67.0,1651,1484
texas,48171,58.99981,61.7,15817,13214
texas,48173,87.59571,85.9,653,604
texas,48175,55.53042,44.4,3978,3708
texas,48177,48.7656,47.5,7534,6349
texas,48179,77.36604,78.3,7745,7405
texas,48181,50.29442,52.8,58760,47416
texas,48183,37.09644,40.9,47700,41749
texas,48185,53.1376,51.1,12398,9533
texas,48187,24.1878,31.4,77382,58123
texas,48189,51.16109,48.1,9560,8858
texas,48191,70.81545,66.8,1165,1091
texas,48193,68.36899,71.3,4347,3620
texas,48195,82.20919,80.1,2046,1947
texas,48197,68.92405,63.3,1580,1513
texas,48199,73.8777,73.9,27555,22780
texas,48201,-13.25942,-12.3,1640818,1312112
texas,48203,45.8421,43.7,29462,26548
texas,48205,80.49133,79.8,2076,1952
texas,48207,67.11895,61.5,2211,1770
texas,48209,-10.83053,0.8,108822,72164
texas,48211,74.4186,75.2,1720,1704
texas,48213,60.13758,59.8,36197,30045
texas,48215,-17.05511,-40.2,220884,174408
texas,48217,60.90413,58.3,14843,12970
texas,48219,62.45211,62.2,8091,7311
texas,48221,63.98404,66.2,32580,26262
texas,48223,60.69546,60.5,15932,13538
texas,48225,50.27056,50.6,9425,8353
texas,48227,58.56816,55.8,10043,8723
texas,48229,34.57217,20.6,1157,871
texas,48231,52.58977,55.5,38517,31554
texas,48233,76.67315,75.9,8741,8155
texas,48235,71.87852,74.4,889,766
texas,48237,81.60889,79.4,3779,3350
texas,48239,65.99034,63.4,6210,5302
texas,48241,61.71698,59.8,15469,13419
texas,48243,21.62577,22.9,1304,1191
texas,48245,1.59827,0.5,94665,87618
texas,48247,-17.9941,-56.9,2034,2119
texas,48249,10.09847,-10.3,13507,12379
texas,48251,52.97659,58.0,71928,57606
texas,48253,69.22732,65.2,6691,5960
texas,48255,52.38095,43.4,5229,4198
texas,48257,33.99309,46.8,56435,41265
texas,48259,53.20413,59.4,26419,20283
texas,48261,31.95876,-8.1,194,186
texas,48263,78.78788,69.4,462,434
texas,48265,51.72687,56.0,27738,23297
texas,48267,74.30192,76.4,2292,1952
texas,48269,89.93711,90.6,159,159
texas,48271,43.54336,33.4,1603,1430
texas,48273,1.79332,-3.6,11041,9587
texas,48275,62.84341,60.8,1456,1367
texas,48283,11.76226,-12.5,2406,2059
texas,48285,73.2614,71.3,10195,8665
texas,48277,57.54054,58.7,21338,18714
texas,48279,60.94675,58.6,4394,3995
texas,48281,57.22549,59.7,10373,8205
texas,48287,55.76471,55.3,8075,6558
texas,48289,74.37731,73.7,8672,7439
texas,48291,59.72914,57.8,29314,24267
texas,48293,50.29696,51.9,9092,7739
texas,48295,79.34863,76.9,1351,1332
texas,48297,66.87117,63.3,5053,4302
texas,48299,51.43094,62.0,13278,10447
texas,48301,84.84848,83.1,66,65
texas,48303,32.28096,38.0,120204,99013
texas,48305,62.14566,56.9,2293,2009
texas,48313,58.25298,57.6,5289,4289
texas,48315,43.93064,42.9,4844,4238
texas,48317,72.63889,67.5,2160,1762
texas,48319,57.11111,63.3,2700,2057
texas,48321,44.56601,39.9,13710,12196
texas,48323,-9.40801,-55.8,15338,13588
texas,48307,70.20408,66.7,3430,3103
texas,48309,23.44059,26.8,97617,79075
texas,48311,78.87597,83.0,516,499
texas,48325,39.29458,43.2,22568,17246
texas,48327,60.89932,61.1,1023,864
texas,48329,56.51722,54.8,58752,49212
texas,48331,52.02889,49.8,10523,8664
texas,48333,77.65787,76.1,2502,2245
texas,48335,68.73545,64.9,2578,2196
texas,48337,76.60008,77.2,9812,8604
texas,48339,43.87167,50.7,271175,205904
texas,48341,59.92366,54.5,5502,5284
texas,48343,39.23937,40.6,5548,4973
texas,48345,85.58282,85.5,652,615
texas,48347,31.28387,35.0,26755,22622
texas,48349,45.48548,48.6,19105,16433
texas,48351,60.81037,56.6,6096,5534
texas,48353,55.41854,51.9,5352,4857
texas,48355,2.92793,1.5,126984,104405
texas,48357,79.52456,78.4,3155,3002
texas,48359,82.85431,81.0,1009,953
texas,48361,63.42358,61.8,35974,32000
texas,48363,64.05674,64.0,12478,10270
texas,48365,63.4387,63.5,11452,10416
texas,48367,64.68569,67.1,75434,56817
texas,48369,62.12236,58.0,2648,2466
texas,48371,39.36079,21.8,4662,4185
texas,48373,54.5987,55.4,24072,19852
texas,48375,38.77686,41.5,33177,28831
texas,48377,-33.46865,-36.5,2217,2208
texas,48379,71.24421,71.0,6044,4701
texas,48381,58.75768,64.6,64412,54305
texas,48383,68.50534,60.0,1124,904
texas,48385,66.75076,66.6,1982,1681
texas,48387,56.36207,53.8,5800,5161
texas,48389,23.21477,-7.6,3683,3184
texas,48391,32.73916,27.0,3366,2948
texas,48393,93.09091,91.0,550,554
texas,48395,40.49505,35.0,8080,7035
texas,48397,35.80599,46.8,57792,40180
texas,48399,73.93243,74.0,4262,3782
texas,48401,55.63252,56.1,21367,19134
texas,48403,75.16938,72.8,5461,4651
texas,48405,50.67534,48.0,3998,3569
texas,48407,61.94172,58.2,12628,10343
texas,48409,29.10638,23.8,25850,21656
texas,48411,77.67102,73.5,2602,2357
texas,48413,62.86701,57.9,1158,1059
texas,48415,70.92924,69.2,5865,5312
texas,48417,83.16953,84.8,1628,1504
texas,48419,58.67038,59.7,10063,9086
texas,48421,80.20202,76.0,990,935
texas,48423,39.39169,43.2,99521,84768
texas,48425,67.42915,68.4,4940,3897
texas,48427,-5.00629,-60.2,17478,11740
texas,48429,78.6786,77.4,3799,3470
texas,48431,83.41158,75.7,639,633
texas,48433,67.79891,59.9,736,701
texas,48435,57.80347,53.8,1557,1416
texas,48437,57.96855,54.9,2353,2204
texas,48439,-0.21876,8.6,834697,668514
texas,48441,45.42641,50.6,54924,45759
texas,48443,46.94323,33.8,458,438
texas,48445,56.87361,50.8,3608,3355
